run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_layout	experiment_title	fastq_ftp
SRR925692	SAMN02225461	SRX317699	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172849: 21PT, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925692/SRR925692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925692/SRR925692_2.fastq.gz
SRR925693	SAMN02225457	SRX317700	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172850: 600MPE, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925693/SRR925693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925693/SRR925693_2.fastq.gz
SRR925694	SAMN02225456	SRX317701	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172851: AU565, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925694/SRR925694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925694/SRR925694_2.fastq.gz
SRR925696	SAMN02225458	SRX317703	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172854: BT483, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925696/SRR925696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925696/SRR925696_2.fastq.gz
SRR925699	SAMN02225460	SRX317706	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172858: EFM192A, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925699/SRR925699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925699/SRR925699_2.fastq.gz
SRR925702	SAMN02225463	SRX317709	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172861: HCC1143, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925702/SRR925702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925702/SRR925702_2.fastq.gz
SRR925703	SAMN02225465	SRX317710	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172863: HCC1395, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925703/SRR925703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925703/SRR925703_2.fastq.gz
SRR925706	SAMN02225474	SRX317713	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172867: HCC1569, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925706/SRR925706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925706/SRR925706_2.fastq.gz
SRR925709	SAMN02225469	SRX317716	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172870: HCC1937, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925709/SRR925709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925709/SRR925709_2.fastq.gz
SRR925716	SAMN02225579	SRX317723	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172877: HS578T, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925716/SRR925716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925716/SRR925716_2.fastq.gz
SRR925719	SAMN02225572	SRX317726	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172881: MB157, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925719/SRR925719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925719/SRR925719_2.fastq.gz
SRR925720	SAMN02225577	SRX317727	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172882: MCF10A, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925720/SRR925720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925720/SRR925720_2.fastq.gz
SRR925723	SAMN02225578	SRX317730	PRJNA210428	9606	Homo sapiens		PAIRED	Illumina Genome Analyzer IIx sequencing: GSM1172885: MCF7, RNA-Seq Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925723/SRR925723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR925/SRR925723/SRR925723_2.fastq.gz
